Buyer;BuyerSubSector;Client;ClientSubSector;NDeals;NumberOfNDAPerBuyerInSubSector;NumberOfGosPerBuyerInSubSector;NumberOfGosPerSizeInSubSector;NumberOfNBOperDealsInSubSector;AverageSizePerDealInSubSector;MedianSizePerDealInSubSector;NBOLastDatePerDealInSubSector;DealClosePerClientSector;LastDateCloseDealPerInSubSector;MostRecentContact;IsEqual
B2W;Varejo Especializado;Studio Sol;Geração de conteúdo e Publicações;15;0;1;0;0;;;;0;04/01/2022 00:00;raoni.lapagesse@b2wdigital.com;false
B2W;Varejo Especializado;Kunumi;IT Services;15;1;4;0;0;162.5;150;;1;11/02/2022 00:00;raoni.lapagesse@b2wdigital.com;false
B2W;Varejo Especializado;Irroba;Marketplace Diversos;15;0;0;0;0;80;80;;0;02/07/2021 00:00;raoni.lapagesse@b2wdigital.com;false
B2W;Varejo Especializado;Salon Line;Produtos de Uso Pessoal e Cosméticos;15;0;1;0;0;200;200;;0;15/10/2021 00:00;raoni.lapagesse@b2wdigital.com;false
B2W;Varejo Especializado;Delta Supermercados;Supermercados e Atacadistas;15;0;0;0;0;250;250;;0;;raoni.lapagesse@b2wdigital.com;false
B2W;Varejo Especializado;Pixit;IT Services;15;1;4;0;0;162.5;150;;1;11/02/2022 00:00;raoni.lapagesse@b2wdigital.com;false
B2W;Varejo Especializado;Take and Go;Varejo Especializado;15;0;1;0;0;100;100;;0;25/02/2022 00:00;raoni.lapagesse@b2wdigital.com;true
B2W;Varejo Especializado;TM1;Marketing Services;15;0;1;0;0;120;120;;0;26/05/2021 00:00;raoni.lapagesse@b2wdigital.com;false
B2W;Varejo Especializado;Framework;IT Services;15;1;4;0;0;162.5;150;;1;11/02/2022 00:00;raoni.lapagesse@b2wdigital.com;false
B2Winc;;Forever Liss;Produtos de Uso Pessoal e Cosméticos;12;1;1;0;0;;;;1;15/10/2021 00:00;eduardo.langoni@b2wdigital.com;false
B2Winc;;Kiko's;Varejo Especializado;12;0;1;0;0;;;;0;25/02/2022 00:00;eduardo.langoni@b2wdigital.com;false
B2Winc;;Inter Aduaneira;;12;;;;;;;;;;eduardo.langoni@b2wdigital.com;false
B2Winc;;Arklok;Locação de Ativos;12;0;1;0;0;120;120;;0;;eduardo.langoni@b2wdigital.com;false
B2Winc;;Aldo;Distribuição industrial;12;0;1;0;0;;;;1;10/12/2021 00:00;eduardo.langoni@b2wdigital.com;false
B2Winc;;iByte;Varejo Especializado;12;0;1;0;0;;;;0;25/02/2022 00:00;eduardo.langoni@b2wdigital.com;false
B2Winc;;Social Bank;Fintech;12;1;1;0;0;;;;1;31/08/2021 00:00;eduardo.langoni@b2wdigital.com;false
B2Winc;;Piticas;Varejo Especializado;12;0;1;0;0;;;;0;25/02/2022 00:00;eduardo.langoni@b2wdigital.com;false
B2Winc;;LinkApi;IT Services;12;0;2;0;0;130;130;;2;11/02/2022 00:00;eduardo.langoni@b2wdigital.com;false
B2Winc;;Trademaster;Fintech;12;1;1;0;0;;;;1;31/08/2021 00:00;eduardo.langoni@b2wdigital.com;false
B2Winc;;Zarpo;Varejo Especializado;12;0;1;0;0;;;;0;25/02/2022 00:00;eduardo.langoni@b2wdigital.com;false
B2Winc;;Lucree;Meios de Pagamento;12;0;0;0;0;;;;0;14/04/2022 00:00;eduardo.langoni@b2wdigital.com;false
B2Winc;;Ioasys;IT Services;12;0;2;0;0;130;130;;2;11/02/2022 00:00;eduardo.langoni@b2wdigital.com;false
BB Electronics;Serviços de Engenharia e TIC;Hi-Mix;Serviços de Engenharia e TIC;1;0;0;0;0;400;400;;0;27/04/2022 00:00;;true
BBM Logística;Logistica;D&C Cargas;Serviços Terceirizados (limpeza. segurança e catering);4;0;2;0;0;240;300;;0;24/06/2022 00:00;felipe.vianna@bbmlogistica.com.br;false
BBM Logística;Logistica;BR Log;Logistica;4;0;1;0;0;200;200;;0;30/10/2020 00:00;felipe.vianna@bbmlogistica.com.br;true
BBM Logística;Logistica;3Z;Serviços Terceirizados (limpeza. segurança e catering);4;0;2;0;0;240;300;;0;24/06/2022 00:00;felipe.vianna@bbmlogistica.com.br;false
BBM Logística;Logistica;TransPedrosa;Serviços Terceirizados (limpeza. segurança e catering);4;0;2;0;0;240;300;;0;24/06/2022 00:00;felipe.vianna@bbmlogistica.com.br;false
BBQ Holdings;Restaurantes & Delivery;Halipar;Restaurantes & Delivery;1;0;0;0;0;200;200;;0;;;true
BBS Automation;Indústria Pesada. Máquinas e Equipamentos;Pollux;IT Services;1;0;1;0;0;;;;1;11/02/2022 00:00;andreas.aschenbrenner@eqtpartners.com;false
BC Partners;;Skala;Produtos de Uso Pessoal e Cosméticos;1;0;1;0;0;800;800;;0;15/10/2021 00:00;gabriel.hahn@bcpartners.com;false
BD Company - Becton Dickinson;Dental & Medical devices (produção e distribuição);Plenum;Dental & Medical devices (produção e distribuição);3;0;2;0;0;150;150;;0;03/06/2022 00:00;christopher_reidy@bd.com;true
BD Company - Becton Dickinson;Dental & Medical devices (produção e distribuição);Barrfab;Dental & Medical devices (produção e distribuição);3;0;2;0;0;150;150;;0;03/06/2022 00:00;christopher_reidy@bd.com;true
BD Company - Becton Dickinson;Dental & Medical devices (produção e distribuição);Magnamed;Dental & Medical devices (produção e distribuição);3;0;2;0;0;150;150;;0;03/06/2022 00:00;christopher_reidy@bd.com;true
BDF Nivea;Produtos de Uso Pessoal e Cosméticos;Forever Liss;Produtos de Uso Pessoal e Cosméticos;1;0;0;0;0;;;;1;15/10/2021 00:00;alexandre.carvalheira@beiersdorf.com;true
BDO Brazil;Consulting;Framework;IT Services;1;1;1;0;0;200;200;;0;11/02/2022 00:00;;false
BDP International;Logistica;TransPedrosa;Serviços Terceirizados (limpeza. segurança e catering);2;0;0;0;0;300;300;;0;24/06/2022 00:00;;false
BDP International;Logistica;Veronese;Logistica;2;0;0;0;0;200;200;;0;30/10/2020 00:00;;true
BET 365;;TM1;Marketing Services;1;0;1;0;0;120;120;;0;26/05/2021 00:00;;false
BFFC;Restaurantes & Delivery;Beta Learning;IT Services;2;0;2;0;0;175;175;;2;11/02/2022 00:00;ricardo.bomeny@bffc.com.br;false
BFFC;Restaurantes & Delivery;Ioasys;IT Services;2;0;2;0;0;175;175;;2;11/02/2022 00:00;ricardo.bomeny@bffc.com.br;false
BHP;Máquinas e Equipamentos OLD;Emal;Fertilizantes. especiais. químicos e sementes OLD;2;0;1;0;0;;;;1;23/03/2021 00:00;lauren.lc.arias@bhpbilliton.com;false
BHP;Máquinas e Equipamentos OLD;Libra Ligas;Indústria Pesada. Máquinas e Equipamentos;2;0;0;0;0;500;500;;0;06/05/2021 00:00;lauren.lc.arias@bhpbilliton.com;false
BHS Tabletop;Materiais Básicos e Produtos para Construção (Indústria e Varejo);Porto Brasil;Materiais Básicos e Produtos para Construção (Indústria e Varejo);2;1;2;0;0;100;100;;0;;egretzberger.g@bhs-tabletop.de;true
BHS Tabletop;Materiais Básicos e Produtos para Construção (Indústria e Varejo);Porto Brasil 2021;Materiais Básicos e Produtos para Construção (Indústria e Varejo);2;1;2;0;0;100;100;;0;;egretzberger.g@bhs-tabletop.de;true
BIP Consulting;Consulting;Squadra IT;IT Services;4;3;2;0;1;162.5;175;15/07/2022 19:36;0;11/02/2022 00:00;;false
BIP Consulting;Consulting;Kunumi;IT Services;4;3;2;0;1;162.5;175;15/07/2022 19:36;0;11/02/2022 00:00;;false
BIP Consulting;Consulting;K21;IT Services;4;3;2;0;1;162.5;175;15/07/2022 19:36;0;11/02/2022 00:00;;false
BIP Consulting;Consulting;Framework;IT Services;4;3;2;0;1;162.5;175;15/07/2022 19:36;0;11/02/2022 00:00;;false
BJ's Restaurants;Restaurantes & Delivery;Halipar;Restaurantes & Delivery;1;0;1;0;0;200;200;;0;;;true
BMC Software;;E-law 2021;Software;1;0;1;0;0;;;;0;04/04/2022 00:00;;false
BMI/Nexialistas;Consulting;AfferoLab;Consulting;1;0;0;0;1;;;26/11/2021 15:27;1;31/03/2022 00:00;;true
BMW Group;Supermercados e Atacadistas;Suntech;IT Services;1;0;1;0;0;;;;0;11/02/2022 00:00;;false
BNDES;Bancos Tradicionais;Hinove;Fertilizantes & Defensivos;1;0;1;0;0;300;300;;0;03/02/2022 00:00;;false
BNP Paribas;Bancos Tradicionais;Angá Asset Management;Asset Management;2;0;0;0;0;300;300;;0;23/06/2022 00:00;;false
BNP Paribas;Bancos Tradicionais;Bexs;Fintech;2;0;0;0;0;;;;0;31/08/2021 00:00;;false
BP;Energia;PHB Solar;Energia;3;0;1;0;0;;;;0;;adriano.bastos@bp.com;true
BP;Energia;Celena;Agricultura/Produção;3;0;0;0;0;200;200;;0;;adriano.bastos@bp.com;false
BP;Energia;Usina Santa Isabel;Açucar e Álcool;3;0;1;0;0;;;;0;;adriano.bastos@bp.com;false
BP P.L.C.;Industria e distribuição de Químicos & Ingredientes;Prime Energy;Energia;2;0;1;0;0;;;;0;;orlando.alvarez@bp.com;false
BP P.L.C.;Industria e distribuição de Químicos & Ingredientes;Celena;Agricultura/Produção;2;0;0;0;0;200;200;;0;;orlando.alvarez@bp.com;false
BP3 Global;;E-law 2021;Software;1;0;0;0;0;;;;0;04/04/2022 00:00;cblahuta@bp-3.com;false
BR Distribuidora;Industria e distribuição de Químicos & Ingredientes;Ioasys;IT Services;1;0;1;0;0;200;200;;1;11/02/2022 00:00;leoburgos@br.com.br;false
BR Home Centers (Tend Tudo + Casa Show);Varejo Especializado;Solar Prime;Distribuição industrial;1;0;1;0;0;40;40;;0;10/12/2021 00:00;guilherme.moraes@tendtudo.com.br;false
BR Link;IT Services;Skymail;IT Services;1;0;1;0;0;60;60;;0;11/02/2022 00:00;rafael.marangoni@brlink.com.br;true
BR Log;Logistica;Transmoreno;Logistica;1;0;1;0;1;400;400;11/06/2020 16:37;1;30/10/2020 00:00;;true
BR Opportunities;;Elleva;Serviços Terceirizados (limpeza. segurança e catering);1;0;0;0;0;;;;0;24/06/2022 00:00;;false
BR Partners;Consulting;Terra Zoo;Varejo Especializado;2;1;0;0;0;120;120;;1;25/02/2022 00:00;;false
BR Partners;Consulting;Angá Asset Management;Asset Management;2;0;0;0;0;300;300;;0;23/06/2022 00:00;;false
BRAM Bradesco Asset Management;Macro Real Estate OLD;Angá Asset Management;Asset Management;1;0;0;0;0;300;300;;0;23/06/2022 00:00;luana.rodrigues@bram.bradesco.com.br;false
BRItech;SaaS - Generalistas;Cedro Tech;Software;1;0;0;0;0;100;100;;0;04/04/2022 00:00;;false
BRK Ambiental;Distribuição industrial;Interação Resíduos;Gestão de residuos e aterros;1;0;1;0;0;80;80;;0;;;false
BRL Trust;Consulting;Parque Memorial Japi;Deathcare (Cemitério e Planos funerários);2;0;0;0;0;;;;0;;mribeiro@brltrust.com.br;false
BRL Trust;Consulting;True Securitizadora;Asset Management;2;0;1;0;0;130;130;;0;23/06/2022 00:00;mribeiro@brltrust.com.br;false
BRQ;Consulting;Kunumi;IT Services;15;1;8;0;0;163.5;150;;2;11/02/2022 00:00;arthur.elean@articainvest.com.br;false
BRQ;Consulting;Squadra IT;IT Services;15;1;8;0;0;163.5;150;;2;11/02/2022 00:00;arthur.elean@articainvest.com.br;false
BRQ;Consulting;Monitora;IT Services;15;1;8;0;0;163.5;150;;2;11/02/2022 00:00;arthur.elean@articainvest.com.br;false
BRQ;Consulting;Grupo Services;Serviços Terceirizados (limpeza. segurança e catering);15;0;1;0;0;;;;0;24/06/2022 00:00;arthur.elean@articainvest.com.br;false
BRQ;Consulting;Hartb;IT Services;15;1;8;0;0;163.5;150;;2;11/02/2022 00:00;arthur.elean@articainvest.com.br;false
BRQ;Consulting;Pixit;IT Services;15;1;8;0;0;163.5;150;;2;11/02/2022 00:00;arthur.elean@articainvest.com.br;false
BRQ;Consulting;Sofist;IT Services;15;1;8;0;0;163.5;150;;2;11/02/2022 00:00;arthur.elean@articainvest.com.br;false
BRQ;Consulting;SmartNX;Software;15;0;3;0;0;80;80;;0;04/04/2022 00:00;arthur.elean@articainvest.com.br;false
BRQ;Consulting;Kunumi;IT Services;15;1;8;0;0;163.5;150;;2;11/02/2022 00:00;arthur.elean@articainvest.com.br;false
BRQ;Consulting;Beta Learning;IT Services;15;1;8;0;0;163.5;150;;2;11/02/2022 00:00;arthur.elean@articainvest.com.br;false
BRQ;Consulting;E-law 2021;Software;15;0;3;0;0;80;80;;0;04/04/2022 00:00;arthur.elean@articainvest.com.br;false
BRQ;Consulting;Framework;IT Services;15;1;8;0;0;163.5;150;;2;11/02/2022 00:00;arthur.elean@articainvest.com.br;false
BRQ;Consulting;Accesstage;Software;15;0;3;0;0;80;80;;0;04/04/2022 00:00;arthur.elean@articainvest.com.br;false
BRQ;Consulting;Ioasys;IT Services;15;1;8;0;0;163.5;150;;2;11/02/2022 00:00;arthur.elean@articainvest.com.br;false
BRQ;Consulting;Irroba;Marketplace Diversos;15;0;1;0;0;80;80;;0;02/07/2021 00:00;arthur.elean@articainvest.com.br;false
BS2;Fintech;Ioasys;IT Services;1;0;1;0;0;200;200;;1;11/02/2022 00:00;gabriel@bancobonsucesso.com.br;false
BSBIOS;;Polli Fertilizantes;Fertilizantes & Defensivos;2;1;0;0;0;180;180;;0;03/02/2022 00:00;erasmo.carlos@bsbios.com;false
BSBIOS;;Polli Fertilizantes;Fertilizantes & Defensivos;2;1;0;0;0;180;180;;0;03/02/2022 00:00;erasmo.carlos@bsbios.com;false
BSL;Clínicas. Hospitais e Centros de Tratamento;BR Med;Clínicas. Hospitais e Centros de Tratamento;1;1;1;0;0;;;;0;;;true
BTCC Conexão Cliente;Serviços Terceirizados (limpeza. segurança e catering);Liderança;Serviços de Engenharia e TIC;1;0;1;0;0;;;;1;27/04/2022 00:00;luis.ferreira@btcc.net.br;false
BTG Pactual Dívida Estruturada;Asset Management;Clamper;Indústria Pesada. Máquinas e Equipamentos;2;1;1;0;0;300;300;;0;06/05/2021 00:00;;false
BTG Pactual Dívida Estruturada;Asset Management;Alphaville - Asset Deal;Multi-family;2;1;0;0;1;;;07/01/2020 00:00;0;;;false
BTG Private Equity Growth (controle);;Piticas;Varejo Especializado;30;0;2;0;0;;;;0;25/02/2022 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;PHB Solar;Energia;30;1;1;0;0;;;;0;;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Belenus;Materiais Básicos e Produtos para Construção (Indústria e Varejo);30;1;0;0;0;500;500;;0;;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Grupo Services;Serviços Terceirizados (limpeza. segurança e catering);30;0;1;0;0;700;700;;0;24/06/2022 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Plié;Varejo Especializado;30;0;2;0;0;;;;0;25/02/2022 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Plastilit SA;Industria e distribuição de Químicos & Ingredientes;30;0;3;0;0;;;;0;01/12/2021 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Sampel;Indústria Automotiva;30;1;0;0;0;;;;0;;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Framework;IT Services;30;1;3;0;0;337.5;200;;0;11/02/2022 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Plastilit SA;Industria e distribuição de Químicos & Ingredientes;30;0;3;0;0;;;;0;01/12/2021 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Coco do Vale;Bebidas;30;0;1;0;0;;;;0;21/09/2021 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Algar Tech 2021;IT Services;30;1;3;0;0;337.5;200;;0;11/02/2022 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Barrfab;Dental & Medical devices (produção e distribuição);30;3;3;1;0;200;200;;0;03/06/2022 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Squadra IT;IT Services;30;1;3;0;0;337.5;200;;0;11/02/2022 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Iteris;IT Services;30;1;3;0;0;337.5;200;;0;11/02/2022 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Clamper;Indústria Pesada. Máquinas e Equipamentos;30;1;1;1;0;300;300;;0;06/05/2021 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Doce Mineiro;Lácteos. sorvetes e refrigerados;30;1;1;0;0;;;;0;;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Iaudit;Serviços de Engenharia e TIC;30;1;1;0;0;200;200;;0;27/04/2022 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;E-law 2021;Software;30;1;1;0;1;200;200;21/12/2020 10:12;1;04/04/2022 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Crivialli;Produtos de Limpeza;30;0;0;0;0;;;;0;;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Newdrop;Industria e distribuição de Químicos & Ingredientes;30;0;3;0;0;;;;0;01/12/2021 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Medsystems;Dental & Medical devices (produção e distribuição);30;3;3;1;0;200;200;;0;03/06/2022 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Locar 2020;Locação de Ativos;30;0;1;0;0;500;500;;0;;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;PH Transportes;Serviços Terceirizados (limpeza. segurança e catering);30;0;1;0;0;700;700;;0;24/06/2022 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Magnamed;Dental & Medical devices (produção e distribuição);30;3;3;1;0;200;200;;0;03/06/2022 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Luft;Logistica;30;1;1;0;0;800;800;;0;30/10/2020 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Siagri + Datacoper;Software;30;1;1;0;1;200;200;21/12/2020 10:12;1;04/04/2022 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Flash Courier;Logistica;30;1;1;0;0;800;800;;0;30/10/2020 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Educat;Software;30;1;1;0;1;200;200;21/12/2020 10:12;1;04/04/2022 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Piticas;Varejo Especializado;30;0;2;0;0;;;;0;25/02/2022 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Growth (controle);;Aldo;Distribuição industrial;30;0;1;0;0;;;;1;10/12/2021 00:00;thiago.horta@btgpactual.com;false
BTG Private Equity Impacto (minoritário);;Renar Móveis;Materiais Básicos e Produtos para Construção (Indústria e Varejo);5;0;1;0;0;150;150;;0;;Felipe.Gottlieb@btgpactual.com;false
BTG Private Equity Impacto (minoritário);;Piticas;Varejo Especializado;5;0;1;0;0;;;;0;25/02/2022 00:00;Felipe.Gottlieb@btgpactual.com;false
BTG Private Equity Impacto (minoritário);;Piticas;Varejo Especializado;5;0;1;0;0;;;;0;25/02/2022 00:00;Felipe.Gottlieb@btgpactual.com;false
BTG Private Equity Impacto (minoritário);;Cedro Tech;Software;5;0;1;1;0;100;100;;0;04/04/2022 00:00;Felipe.Gottlieb@btgpactual.com;false
BTG Private Equity Impacto (minoritário);;Globalbev;Bebidas;5;1;1;0;0;100;100;;0;21/09/2021 00:00;Felipe.Gottlieb@btgpactual.com;false
BTG Venture Capital;;360 Suites;Marketplace Diversos;3;0;1;0;0;60;60;;0;02/07/2021 00:00;;false
BTG Venture Capital;;Max Milhas;Varejo Especializado;3;0;1;1;0;400;400;;0;25/02/2022 00:00;;false
BTG Venture Capital;;Laqus;Software;3;1;1;0;0;100;100;;0;04/04/2022 00:00;;false
BTS Coach;Educação;Escola Conquer;Ensino Superior;4;0;1;0;0;50;50;;1;01/07/2021 00:00;henrik.ekelund@bts.com;false
BTS Coach;Educação;K21;IT Services;4;0;0;0;0;100;100;;0;11/02/2022 00:00;henrik.ekelund@bts.com;false
BTS Coach;Educação;AfferoLab;Consulting;4;0;2;0;0;100;100;;1;31/03/2022 00:00;henrik.ekelund@bts.com;false
BTS Coach;Educação;BMI Nexialistas;Consulting;4;0;2;0;0;100;100;;1;31/03/2022 00:00;henrik.ekelund@bts.com;false
BWGI Partners - Controle (ex Cambuhy);Consulting;Aldo;Distribuição industrial;16;0;1;0;0;;;;1;10/12/2021 00:00;daniel.barros@bwgi.com.br;false
BWGI Partners - Controle (ex Cambuhy);Consulting;Sweet Fruits;Frutas. Legumes e Verduras;16;0;1;1;0;;;;0;;daniel.barros@bwgi.com.br;false
BWGI Partners - Controle (ex Cambuhy);Consulting;Kiko's;Varejo Especializado;16;0;0;0;0;;;;0;25/02/2022 00:00;daniel.barros@bwgi.com.br;false
BWGI Partners - Controle (ex Cambuhy);Consulting;Algar Tech 2021;IT Services;16;0;1;0;0;800;800;;0;11/02/2022 00:00;daniel.barros@bwgi.com.br;false
BWGI Partners - Controle (ex Cambuhy);Consulting;Colégio GGE;Ensino Básico;16;0;1;0;0;;;;0;;daniel.barros@bwgi.com.br;false
BWGI Partners - Controle (ex Cambuhy);Consulting;Plastilit SA;Industria e distribuição de Químicos & Ingredientes;16;0;2;0;0;;;;0;01/12/2021 00:00;daniel.barros@bwgi.com.br;false
BWGI Partners - Controle (ex Cambuhy);Consulting;Luft;Logistica;16;0;0;0;0;800;800;;0;30/10/2020 00:00;daniel.barros@bwgi.com.br;false
BWGI Partners - Controle (ex Cambuhy);Consulting;Belenus;Materiais Básicos e Produtos para Construção (Indústria e Varejo);16;0;1;0;0;500;500;;0;;daniel.barros@bwgi.com.br;false
BWGI Partners - Controle (ex Cambuhy);Consulting;Sankhya;Software;16;1;1;0;0;600;600;;1;04/04/2022 00:00;daniel.barros@bwgi.com.br;false
BWGI Partners - Controle (ex Cambuhy);Consulting;Blue Health;Dental & Medical devices (produção e distribuição);16;0;1;0;0;150;150;;1;03/06/2022 00:00;daniel.barros@bwgi.com.br;false
BWGI Partners - Controle (ex Cambuhy);Consulting;Skala;Produtos de Uso Pessoal e Cosméticos;16;0;1;0;0;800;800;;0;15/10/2021 00:00;daniel.barros@bwgi.com.br;false
BWGI Partners - Controle (ex Cambuhy);Consulting;Piramidal 2020;Industria e distribuição de Químicos & Ingredientes;16;0;2;0;0;;;;0;01/12/2021 00:00;daniel.barros@bwgi.com.br;false
BWGI Partners - Controle (ex Cambuhy);Consulting;Escola Conquer;Ensino Superior;16;0;1;0;0;50;50;;1;01/07/2021 00:00;daniel.barros@bwgi.com.br;false
BWGI Partners - Controle (ex Cambuhy);Consulting;Nortene;Embalagens;16;0;1;0;0;800;800;;0;;daniel.barros@bwgi.com.br;false
BWGI Partners - Controle (ex Cambuhy);Consulting;Packing Group;Embalagens;16;0;1;0;0;800;800;;0;;daniel.barros@bwgi.com.br;false
BWGI Partners - Controle (ex Cambuhy);Consulting;Doce Mineiro;Lácteos. sorvetes e refrigerados;16;0;1;0;0;;;;0;;daniel.barros@bwgi.com.br;false
BWGI Partners - Minoritário (ex Cambuhy);;Piticas;Varejo Especializado;2;0;1;0;0;;;;0;25/02/2022 00:00;;false
BWGI Partners - Minoritário (ex Cambuhy);;Globalbev;Bebidas;2;0;1;0;0;100;100;;0;21/09/2021 00:00;;false
BWX;Produtos de Uso Pessoal e Cosméticos;Almeida Prado;Indústria Farmacêutica;4;0;0;0;0;300;300;;0;;michael.astorga@bwxltd.com;false
BWX;Produtos de Uso Pessoal e Cosméticos;Lola Cosmetics;Produtos de Uso Pessoal e Cosméticos;4;0;3;0;0;800;800;;1;15/10/2021 00:00;michael.astorga@bwxltd.com;true
BWX;Produtos de Uso Pessoal e Cosméticos;Skala;Produtos de Uso Pessoal e Cosméticos;4;0;3;0;0;800;800;;1;15/10/2021 00:00;michael.astorga@bwxltd.com;true
BWX;Produtos de Uso Pessoal e Cosméticos;Forever Liss;Produtos de Uso Pessoal e Cosméticos;4;0;3;0;0;800;800;;1;15/10/2021 00:00;michael.astorga@bwxltd.com;true
BX LOG Logística e Transportes;Logistica;Inter Aduaneira;;0;;;;;;;;;;;false
Babcock International;Serviços de Engenharia e TIC;MedMais;Serviços Terceirizados (limpeza. segurança e catering);1;0;0;0;0;100;100;;0;24/06/2022 00:00;;false
Babylon;Análises e Diagnósticos;Kunumi;IT Services;1;0;1;0;0;150;150;;0;11/02/2022 00:00;;false
Baccarat;Varejo Especializado;Porto Brasil;Materiais Básicos e Produtos para Construção (Indústria e Varejo);1;0;1;0;0;100;100;;0;;;false
Backbase;;Kunumi;IT Services;2;0;2;0;0;175;175;;0;11/02/2022 00:00;;false
Backbase;;Framework;IT Services;2;0;2;0;0;175;175;;0;11/02/2022 00:00;;false
Bactolac Pharmaceutical;Industria e distribuição de Químicos & Ingredientes;Bionatus 2022;Indústria Farmacêutica;1;0;0;0;0;50;50;;0;;;false
Badger Capital;;Plié;Varejo Especializado;6;0;0;0;0;;;;0;25/02/2022 00:00;victor@badgercapital.com.br;false
Badger Capital;;Piticas;Varejo Especializado;6;0;0;0;0;;;;0;25/02/2022 00:00;victor@badgercapital.com.br;false
Badger Capital;;Globalbev;Bebidas;6;0;1;0;0;100;100;;0;21/09/2021 00:00;victor@badgercapital.com.br;false
Badger Capital;;Laqus;Software;6;0;1;0;0;100;100;;0;04/04/2022 00:00;victor@badgercapital.com.br;false
Badger Capital;;Parque das Flores;Dental & Medical devices (produção e distribuição);6;0;0;0;0;150;150;;0;03/06/2022 00:00;victor@badgercapital.com.br;false
Badger Capital;;Newdrop;Industria e distribuição de Químicos & Ingredientes;6;0;0;0;0;;;;0;01/12/2021 00:00;victor@badgercapital.com.br;false
Baerlocher;Industria e distribuição de Químicos & Ingredientes;Azevedo Óleos;Mercearia Seca. Condimentos e Produtos Saudáveis;1;0;0;0;0;450;450;;0;;;false
Bahema;;Colégio GGE;Ensino Básico;1;1;1;0;1;;;02/12/2020 09:39;0;;cassio@mintcapital.com.br;false
Bahia Asset;Asset Management;Nortis;Multi-family;1;0;1;0;0;150;150;;0;;GUSTAVODAIBERT@bahiaasset.com.br;false
Bailey Nurseries Inc.;Distribuição Agro;Bioagro;Distribuição Agro;1;0;1;0;0;;;;0;16/02/2022 00:00;;true
Bain & Company;Consulting;Hartb;IT Services;11;4;6;0;0;158.33;150;;3;11/02/2022 00:00;Esther.Gonzalez@Bain.com;false
Bain & Company;Consulting;Squadra IT;IT Services;11;4;6;0;0;158.33;150;;3;11/02/2022 00:00;Esther.Gonzalez@Bain.com;false
Bain & Company;Consulting;Beta Learning;IT Services;11;4;6;0;0;158.33;150;;3;11/02/2022 00:00;Esther.Gonzalez@Bain.com;false
Bain & Company;Consulting;BMI Nexialistas;Consulting;11;0;0;0;0;100;100;;0;31/03/2022 00:00;Esther.Gonzalez@Bain.com;true
Bain & Company;Consulting;SmartNX;Software;11;0;1;0;0;80;80;;0;04/04/2022 00:00;Esther.Gonzalez@Bain.com;false
Bain & Company;Consulting;Kunumi;IT Services;11;4;6;0;0;158.33;150;;3;11/02/2022 00:00;Esther.Gonzalez@Bain.com;false
Bain & Company;Consulting;Raccoon;Marketing Services;11;0;1;0;0;;;;1;26/05/2021 00:00;Esther.Gonzalez@Bain.com;false
Bain & Company;Consulting;Escola Conquer;Ensino Superior;11;0;1;0;0;50;50;;1;01/07/2021 00:00;Esther.Gonzalez@Bain.com;false
Bain & Company;Consulting;Pollux;IT Services;11;4;6;0;0;158.33;150;;3;11/02/2022 00:00;Esther.Gonzalez@Bain.com;false
Bain & Company;Consulting;Ioasys;IT Services;11;4;6;0;0;158.33;150;;3;11/02/2022 00:00;Esther.Gonzalez@Bain.com;false
